,0,1,2,3,4,5
0,(7.354976190487003e-05+0.01453537408612315j),(7.086297318224227e-05+0.004428648380862919j),(7.09966321134996e-05+0.0009193632763027651j),(0.00044667214887447564+0.007425695927259347j),(0.00041980426164819814+0.0063584388746570466j),(0.00015764013785172885+0.0008687991928476035j)
1,(7.086297318224227e-05+0.004428648380862918j),(7.305234886784056e-05+0.014709374164652721j),(6.480956263915725e-05+0.000744017799023159j),(0.0004207990877222571+0.0060104387175979055j),(0.0004426928445782398+0.008817696555495915j),(0.00013457914363272929+0.0007023775665855627j)
2,(7.099663211349957e-05+0.0009193632763027653j),(6.480956263915727e-05+0.0007440177990231588j),(0.0003615187978301279+0.018077093933098105j),(0.0004383539316296822+0.0058668706123758034j),(0.0003764832368862588+0.004113415839579741j),(0.002114230548552514+0.017184151684818818j)
3,(0.00044667214887447564+0.007425695927259348j),(0.00042079908772225705+0.006010438717597904j),(0.00043835393162968225+0.0058668706123758034j),(0.002731779015551291+0.047384689982878966j),(0.002473048404029105+0.033232117886264546j),(0.0009919628155483722+0.0055456384096097015j)
4,(0.0004198042616481981+0.006358438874657047j),(0.0004426928445782399+0.008817696555495913j),(0.0003764832368862588+0.00411341583957974j),(0.002473048404029105+0.033232117886264546j),(0.0027019342333295224+0.05782469469465323j),(0.0007613528733583765+0.003881422146989294j)
5,(0.00015764013785172883+0.0008687991928476031j),(0.00013457914363272929+0.0007023775665855626j),(0.002114230548552514+0.017184151684818814j),(0.0009919628155483722+0.0055456384096097j),(0.0007613528733583765+0.0038814221469892943j),(0.013487003100603754+0.1114181338769194j)
