,0,1,2,3,4,5
0,0j,0j,0j,0j,0j,0j
1,0j,0j,0j,0j,0j,0j
2,0j,0j,0j,0j,0j,0j
3,0j,0j,0j,(0.9592869044866811-0.38371476179467245j),0j,0j
4,0j,0j,0j,0j,(0.48342387862580005-0.29005432717548j),0j
5,0j,0j,0j,0j,0j,(1.0677279235118546-0.3882646994588562j)
