,0,1,2,3
0,-0.04736867036142295j,-1.314744712028275e-18j,0.047368670361422956j,-0.047368670361422956j
1,0j,-0.047370914258645196j,0.047370914258645196j,0j
2,(-0+0.047368670361422956j),(-0+0.04737091425864519j),(-0+0.2052904183802319j),(-0+0.04736867036142295j)
3,-0.047368670361422956j,-1.2052812684075588e-18j,0.04736867036142294j,-0.3473986733617229j
