,0,1,2,3,4,5
0,(7.033115311689818e-05+0.014513278074775733j),(6.808056421563793e-05+0.004410778653855874j),(3.2703244507284416e-05+0.0004832062130587522j),(0.0004264880965039097+0.007284667290494098j),(0.00040398220749130706+0.006259673081295527j),(7.846079529682475e-05+0.00045708185976388343j)
1,(6.808056421563791e-05+0.004410778653855874j),(7.065681798130214e-05+0.01469492379099062j),(3.0328134979667392e-05+0.0003910834213746901j),(0.0004033308777624992+0.005896381648865745j),(0.0004290934154191413+0.008737833020213224j),(6.717895421717584e-05+0.000369561758342265j)
2,(3.2703244507284396e-05+0.0004832062130587521j),(3.032813497966739e-05+0.00039108342137469j),(9.972961390857063e-05+0.00949594350418094j),(0.0002009696860989405+0.0030834828617206374j),(0.00017721859082277038+0.002162254944880016j),(0.0010247114157154412+0.009035707576319099j)
3,(0.0004264880965039095+0.007284667290494097j),(0.0004033308777624991+0.005896381648865745j),(0.00020096968609894053+0.003083482861720638j),(0.0026052430165062796+0.0464845750262213j),(0.002373670829092174+0.03260171860993777j),(0.0004933284539402463+0.0029175313614265373j)
4,(0.00040398220749130696+0.0062596730812955245j),(0.0004290934154191413+0.008737833020213224j),(0.00017721859082277036+0.002162254944880016j),(0.002373670829092174+0.03260171860993776j),(0.002624782908370517+0.05738331799911474j),(0.00038051004314375715+0.002042330347210353j)
5,(7.846079529682474e-05+0.0004570818597638833j),(6.717895421717581e-05+0.000369561758342265j),(0.0010247114157154412+0.009035707576319099j),(0.0004933284539402462+0.002917531361426537j),(0.0003805100431437571+0.002042330347210353j),(0.011651384831280706+0.10376290920729048j)
