,0,1,2,3,4,5
0,(0.00266462152540199+0.11847320918932837j),(0.0001873679862162011+0.004260426540929433j),(9.152698260434693e-05+0.0005498306999979289j),(0.00761912860377357+0.04689877448612622j),(0.006474940080816687+0.031460453699897584j),(0.00020628763803000463+0.00043328428121060215j)
1,(0.00018736798621620104+0.0042604265409294335j),(1.4080009323020663e-05+0.004951828674593923j),(6.395445163310585e-06+3.373355759990519e-05j),(0.000533943940002562+0.002877622273600452j),(0.0005123046149178997+0.003444353417558348j),(1.330180150533761e-05+2.6397930736682737e-05j)
2,(9.152698260434695e-05+0.000549830699997929j),(6.395445163310585e-06+3.3733557599905184e-05j),(2.235657986695746e-05+0.004945654108203998j),(0.00026179005748641973+0.0015820249847939764j),(0.00021985908007987303+0.0010255527287981688j),(0.0011927274592990749+0.0040874928314510355j)
3,(0.00761912860377357+0.04689877448612623j),(0.000533943940002562+0.0028776222736004524j),(0.0002617900574864197+0.0015820249847939769j),(0.02178949793131559+0.13494107891117776j),(0.018400211012614263+0.08749265426457606j),(0.0005922593110793386+0.0012470569821584408j)
4,(0.006474940080816686+0.03146045369989758j),(0.0005123046149178998+0.0034443534175583475j),(0.000219859080079873+0.0010255527287981688j),(0.018400211012614263+0.08749265426457604j),(0.01932531057819431+0.15407335790638074j),(0.0004254382187762602+0.0007965010739898082j)
5,(0.00020628763803000466+0.00043328428121060215j),(1.3301801505337615e-05+2.6397930736682744e-05j),(0.0011927274592990753+0.004087492831451037j),(0.0005922593110793388+0.001247056982158441j),(0.0004254382187762604+0.0007965010739898087j),(0.07318528083740054+0.25136594546800795j)
